term,tag,value,pstv,neut,ngtv,dunno,distortion
аборт,NGTV,-0.7832,0.0686,0.2647,0.5784,0.0882,0.0768
абсурдность,NGTV,-1.0,0.0,0.04,0.96,0.0,0.0
абсурдный,NGTV,-0.9,0.0706,0.2235,0.6706,0.0353,0.078
аварийный,NGTV,-1.0,0.0714,0.1571,0.6571,0.1143,0.0792
авария,NGTV,-1.0,0.08,0.04,0.84,0.04,0.0876
авиакатастрофа,NGTV,-0.9828,0.0769,0.1923,0.7308,0.0,0.085
авитаминоз,NGTV,-1.0,0.0,0.12,0.8,0.08,0.0
автокатастрофа,NGTV,-1.0,0.0,0.16,0.8,0.04,0.0
авторитет,PSTV,0.9,0.5660000000000001,0.1887,0.0755,0.1698,0.0855
авторитетность,PSTV,0.9,0.6923,0.2308,0.0769,0.0,0.0855
авторитетный,PSTV,1.0,0.75,0.1786,0.0357,0.0357,0.0374
автоугонщик,NGTV,-1.0,0.0357,0.1071,0.8571,0.0,0.0372
агония,NGTV,-1.0,0.0385,0.1154,0.5769,0.2692,0.040999999999999995
агрессивность,NGTV,-1.0,0.08,0.12,0.76,0.04,0.0884
агрессивный,NGTV,-1.0,0.0385,0.0769,0.8846,0.0,0.0401
агрессия,NGTV,-1.0,0.04,0.08,0.8,0.08,0.042
адаптировать,PSTV,0.9194,0.7037,0.2222,0.037000000000000005,0.037000000000000005,0.039
адекватность,PSTV,0.9706,0.7857,0.2143,0.0,0.0,0.0
адекватный,PSTV,1.0,0.8077,0.0769,0.0769,0.0385,0.0842
адски,NGTV,-1.0,0.0,0.0769,0.8846,0.0385,0.0
адский,NGTV,-1.0,0.04,0.12,0.84,0.0,0.0419
аккуратненький,PSTV,1.0,0.72,0.16,0.0,0.12,0.0
аккуратненько,PSTV,0.9828,0.76,0.2,0.04,0.0,0.0421
аккуратность,PSTV,1.0,0.76,0.16,0.0,0.08,0.0
аккуратный,PSTV,1.0,0.8846,0.1154,0.0,0.0,0.0
актив,PSTV,0.8859999999999999,0.6235,0.21600000000000003,0.0309,0.1296,0.0324
активист,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
активистка,PSTV,0.84,0.5437,0.2136,0.1068,0.1359,0.1278
активность,PSTV,0.8158,0.62,0.26,0.05,0.07,0.054000000000000006
активный,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
актуальность,PSTV,1.0,0.84,0.08,0.0,0.08,0.0
аленький,PSTV,0.9179,0.7069,0.2241,0.0345,0.0345,0.0362
алкашка,NGTV,-1.0,0.08,0.0,0.88,0.04,0.0873
алкоголизм,NGTV,-0.9828,0.0,0.2,0.76,0.04,0.0
алкоголичка,NGTV,-0.9146,0.0294,0.2353,0.7353,0.0,0.0306
алкогольный,NGTV,-0.6859999999999999,0.0577,0.3365,0.5673,0.0385,0.0636
алконавт,NGTV,-1.0,0.08,0.12,0.68,0.12,0.0894
аллергический,NGTV,-0.7241,0.05,0.3,0.56,0.09,0.0545
аллергия,NGTV,-1.0,0.0667,0.1333,0.7333,0.0667,0.0727
амбал,NGTV,-0.6818,0.07,0.3,0.5,0.13,0.0798
аморальность,NGTV,-1.0,0.0571,0.0857,0.7429,0.1143,0.0615
аморальный,NGTV,-1.0,0.08,0.04,0.8,0.08,0.08800000000000001
анархистский,NGTV,-0.6308,0.0693,0.3069,0.4455,0.1782,0.0801
анархия,NGTV,-0.7,0.06,0.28,0.49,0.17,0.0673
ангел,PSTV,1.0,0.92,0.08,0.0,0.0,0.0
ангелок,PSTV,1.0,0.8276,0.0345,0.069,0.069,0.0747
ангелочек,PSTV,1.0,0.92,0.08,0.0,0.0,0.0
ангельски,PSTV,1.0,0.8846,0.0385,0.0,0.0769,0.0
ангина,NGTV,-0.9,0.0833,0.2222,0.6667,0.0278,0.0938
анекдот,PSTV,1.0,0.8077,0.1923,0.0,0.0,0.0
анорексия,NGTV,-1.0,0.0,0.1111,0.8148,0.0741,0.0
антагонист,NGTV,-0.7247,0.0667,0.21899999999999997,0.4095,0.3048,0.0775
антагонистический,NGTV,-0.6515,0.0577,0.2692,0.4135,0.2596,0.0657
антивирус,PSTV,1.0,0.76,0.16,0.08,0.0,0.0884
антигерой,NGTV,-0.8421,0.0495,0.2475,0.6337,0.0693,0.0534
антинаучный,NGTV,-0.7018,0.1188,0.2871,0.505,0.0891,0.1468
антисанитария,NGTV,-1.0,0.08,0.12,0.68,0.12,0.0894
аплодировать,PSTV,1.0,0.84,0.12,0.0,0.04,0.0
аплодисменты,PSTV,1.0,0.7308,0.1154,0.0769,0.0769,0.085
апокалипсис,NGTV,-1.0,0.0667,0.0,0.9333,0.0,0.0714
аппетитность,PSTV,0.8365,0.58,0.23,0.04,0.15,0.0428
аппетитный,PSTV,1.0,0.8,0.12,0.0,0.08,0.0
аргументированность,PSTV,0.8276,0.6275,0.2549,0.0196,0.098,0.0202
арест,NGTV,-1.0,0.0385,0.0769,0.7308,0.1538,0.0405
арестование,NGTV,-0.8939,0.1287,0.198,0.5842,0.0891,0.1571
арестовать,NGTV,-0.9,0.0571,0.2286,0.6857,0.0286,0.0619
арестовывать,NGTV,-0.9324,0.0882,0.2059,0.6765,0.0294,0.0997
аритмия,NGTV,-0.9,0.087,0.1957,0.5870000000000001,0.1304,0.0998
ароматичность,PSTV,0.9,0.6207,0.2069,0.069,0.1034,0.0766
ароматный,PSTV,0.9706,0.7333,0.2,0.0,0.0667,0.0
артистический,PSTV,0.8056,0.58,0.25,0.08,0.09,0.091
артистичный,PSTV,0.9643,0.72,0.2,0.04,0.04,0.0422
артрит,NGTV,-1.0,0.0875,0.1375,0.65,0.125,0.0993
атака,NGTV,-0.7308,0.0777,0.2913,0.5534,0.0777,0.0886
атаковать,NGTV,-0.6538,0.0792,0.3267,0.505,0.0891,0.0916
аутизм,NGTV,-0.677,0.07,0.31,0.51,0.11,0.0796
афера,NGTV,-1.0,0.08,0.12,0.72,0.08,0.0889
аферист,NGTV,-1.0,0.0769,0.0,0.8846,0.0385,0.0836
аферистка,NGTV,-1.0,0.0857,0.0571,0.8286,0.0286,0.0946
ахинея,NGTV,-0.9,0.0714,0.1667,0.5,0.2619,0.0816
баба-яга,NGTV,-0.9242,0.1154,0.1827,0.5865,0.1154,0.1381
бабай,NGTV,-1.0,0.0,0.12,0.68,0.2,0.0
бабища,NGTV,-0.9,0.13,0.18,0.54,0.15,0.1613
бабник,NGTV,-1.0,0.0889,0.0889,0.8,0.0222,0.0988
бабуля,PSTV,0.9828,0.76,0.2,0.0,0.04,0.0
бабуся,PSTV,1.0,0.6522,0.1522,0.087,0.1087,0.0986
бабушка,PSTV,0.9247,0.7031,0.2188,0.0156,0.0625,0.016
баг,NGTV,-0.9,0.0833,0.1548,0.4643,0.2976,0.0983
базарить,NGTV,-0.8333,0.0396,0.2574,0.6436,0.0594,0.042
бал-маскарад,PSTV,0.9,0.6545,0.2182,0.0,0.1273,0.0
балабол,NGTV,-0.9,0.0417,0.2083,0.625,0.125,0.0444
балаган,NGTV,-0.9286,0.0238,0.1905,0.619,0.1667,0.0247
баламутить,NGTV,-0.9066,0.0851,0.1915,0.5851,0.1383,0.0975
балбес,NGTV,-0.9643,0.04,0.2,0.72,0.04,0.0422
балда,NGTV,-0.995,0.1176,0.1667,0.6569,0.0588,0.1387
балдёж,PSTV,0.9677,0.604,0.1287,0.1584,0.1089,0.2
баловень,NGTV,-0.9783,0.0769,0.1538,0.5769,0.1923,0.0872
баловство,NGTV,-0.6395,0.1028,0.3458,0.514,0.0374,0.1234
банальщина,NGTV,-0.7759,0.02,0.28,0.6,0.1,0.0207
банда,NGTV,-0.8514,0.0297,0.2376,0.6238,0.1089,0.0311
бандит,NGTV,-1.0,0.0667,0.0667,0.7667,0.1,0.0725
бандитизм,NGTV,-1.0,0.08,0.12,0.72,0.08,0.0889
бандитка,NGTV,-1.0,0.04,0.12,0.8,0.04,0.042
бандитский,NGTV,-1.0,0.0,0.16,0.84,0.0,0.0
бандюган,NGTV,-1.0,0.0,0.0345,0.9309999999999999,0.0345,0.0
банить,NGTV,-1.0,0.08,0.12,0.64,0.16,0.09
банкрот,NGTV,-1.0,0.0,0.1111,0.8519,0.037000000000000005,0.0
банька,PSTV,0.9,0.619,0.2063,0.0794,0.0952,0.0895
барахло,NGTV,-0.7051,0.09,0.31,0.55,0.05,0.1047
бардак,NGTV,-1.0,0.0357,0.1786,0.7857,0.0,0.0373
бастовать,NGTV,-0.9194,0.0625,0.1875,0.5938,0.1563,0.0691
бастующий,NGTV,-0.9194,0.0303,0.1818,0.5758,0.2121,0.0319
басурманин,NGTV,-0.7737,0.07,0.23,0.49,0.21,0.08
батюшка,PSTV,1.0,0.6538,0.1538,0.0385,0.1538,0.0407
бацилла,NGTV,-1.0,0.0,0.1154,0.7692,0.1154,0.0
башка,NGTV,-0.6714,0.09,0.29,0.47,0.15,0.1072
баюкать,PSTV,1.0,0.7407,0.1852,0.0,0.0741,0.0
бдительность,PSTV,0.9,0.6818,0.2273,0.0682,0.0227,0.075
бдительный,PSTV,0.9,0.7,0.2333,0.0667,0.0,0.073
беглец,NGTV,-0.69,0.1089,0.2673,0.4554,0.1683,0.135
беда,NGTV,-1.0,0.04,0.0,0.96,0.0,0.0417
беднейший,NGTV,-1.0,0.0714,0.1429,0.6786,0.1071,0.0789
бедненький,NGTV,-0.7368,0.1068,0.2816,0.5437,0.068,0.1278
беднеть,NGTV,-1.0,0.0667,0.1,0.7333,0.1,0.0727
бедность,NGTV,-0.9375,0.0357,0.2143,0.7143,0.0357,0.0375
беднота,NGTV,-0.9,0.0435,0.2174,0.6522,0.087,0.0464
бедный,NGTV,-0.9167,0.0313,0.2188,0.6875,0.0625,0.0327
бедняга,NGTV,-0.7571,0.11,0.26,0.53,0.1,0.1328
бедняк,NGTV,-0.8491,0.08,0.23,0.6,0.09,0.0907
бедолага,NGTV,-0.6429,0.0891,0.3366,0.505,0.0693,0.1048
бедствие,NGTV,-1.0,0.0,0.1071,0.8571,0.0357,0.0
безаварийный,PSTV,0.9,0.6563,0.2188,0.0625,0.0625,0.0685
безалаберность,NGTV,-1.0,0.08,0.04,0.72,0.16,0.0889
безалаберный,NGTV,-1.0,0.0882,0.0588,0.7941,0.0588,0.098
безальтернативность,NGTV,-0.6391,0.0811,0.2973,0.4414,0.1802,0.096
безбедный,PSTV,1.0,0.6667,0.1481,0.037000000000000005,0.1481,0.0391
безбилетник,NGTV,-1.0,0.0,0.1481,0.6296,0.2222,0.0
безбилетница,NGTV,-1.0,0.08,0.12,0.68,0.12,0.0894
безбилетный,NGTV,-0.7314,0.05,0.31,0.59,0.05,0.0542
безбожие,NGTV,-0.7212,0.0865,0.2596,0.4808,0.1731,0.1021
безболезненный,PSTV,0.9112,0.65,0.21,0.09,0.05,0.1025
безвкусие,NGTV,-0.9,0.0541,0.2162,0.6486,0.0811,0.0586
безвкусица,NGTV,-0.9545,0.0,0.2222,0.7778,0.0,0.0
безвластие,NGTV,-0.875,0.0865,0.1923,0.5385,0.1827,0.1004
безвозвратный,NGTV,-0.6667,0.0762,0.2857,0.4571,0.18100000000000002,0.0889
безволие,NGTV,-1.0,0.04,0.08,0.84,0.04,0.0419
безвредный,PSTV,0.9,0.6857,0.2286,0.0571,0.0286,0.0619
безвыходность,NGTV,-1.0,0.0,0.1538,0.7308,0.1154,0.0
безвыходный,NGTV,-1.0,0.08,0.08,0.8,0.04,0.08800000000000001
безголовость,NGTV,-1.0,0.0,0.1481,0.7407,0.1111,0.0
безголовый,NGTV,-1.0,0.04,0.0,0.92,0.04,0.0417
безголосый,NGTV,-0.7437,0.0784,0.2941,0.5784,0.049,0.0891
безграмотность,NGTV,-1.0,0.0,0.12,0.84,0.04,0.0
безграмотный,NGTV,-1.0,0.04,0.04,0.92,0.0,0.0417
безгрешный,PSTV,1.0,0.64,0.16,0.11,0.09,0.1289
бездарность,NGTV,-1.0,0.0887,0.0887,0.7339,0.0887,0.0994
бездарный,NGTV,-1.0,0.0385,0.0385,0.8846,0.0385,0.0401
бездействие,NGTV,-0.625,0.07,0.35,0.5,0.08,0.0798
бездействовать,NGTV,-0.6466,0.0792,0.3267,0.495,0.099,0.0919
безделица,NGTV,-0.6898,0.0614,0.3246,0.5526,0.0614,0.0682
безделье,NGTV,-0.7941,0.0583,0.2718,0.6117,0.0583,0.0638
бездельник,NGTV,-1.0,0.0741,0.1481,0.7778,0.0,0.0811
бездельница,NGTV,-0.9054,0.0505,0.2222,0.6768,0.0505,0.0543
бездельничать,NGTV,-1.0,0.0,0.1622,0.7838,0.0541,0.0
