fullname;surname;name;patronim;stem_name
Володимир Зеленський;Зеленск;Владимир;Александрович;Володимир Зеленськ
Петро Порошенко;Порошенк;П(е|ё)тр;Алексеевич;Петр Порошенк
Ірина Венедіктова;Венедиктов;Ирин;Валентиновн;Ірин Венедікт
Арсен Аваков;Аваков;Арсен;Борисович;Арсен Авак
Максим Степанов;Степанов;Максим;Владимирович;Макс Степан
Юлія Тимошенко;Тимошенк;Юли;Владимировн;Юл Тимошенк
Денис Шмигаль;Шм(ы|и)гал;Денис;Анатол(и|ь)евич;Денис Шмигал
Давид Арахамія;Арахами;Давид;Георгиевич;Давид Арахам
Віктор Медведчук;Медведчук;Виктор;Владимирович;Віктор Медведчук
Міхеіл Саакашвілі;Саакашвили;Мих(а|е)ил;;Михайл Саакашвіл
Вадим Рабінович;Рабинович;Вадим;Зиновьевич;Вадим Рабинович
Олексій Гончаренко;Гончаренк;Алексе;Алексеевич;Олекс Гончаренк
Віталій Кличко;Кличк;Витали;Владимирович;Вітал Кличк
Юрій Бойко;Бойк;Юри;Анатол(и|ь)евич;Юр Бойк
Дмитро Разумков;Разумков;Дмитр;Александрович;Дмитр Разумк
Віктор Ляшко;Ляшк;Виктор;Кирилл?ович;Віктор Ляшк
Андрій Єрмак;Ермак;Андре;Борисович;Андр Єрмак
Гео Лерос;Лерос;Гео;Багратович;Ге Лерос
Іван Баканов;Баканов;Иван;Геннад(ь|и)евич;Іван Бакан
Артем Ситник;С(ы|и)тник;Арт(ё|е)м;Сергеевич;Арт Ситник
Назар Холодницький;Холодницк;Назар;Иванович;Назар Холодницьк
Владислав Криклій;Кр(ы|и)кли;Владислав;Артурович;Владисл Крикл
Олександр Ткаченко;Ткаченк;Александр;Владиславович;Олександр Ткаченк
Геннадій Труханов;Труханов;Геннади;Леонидович;Геннад Трухан
Андрій Садовий;Садов;Андре;Иванович;Андр Садов
Борис Філатов;Филатов;Борис;Альбертович;Борис Філат
Денис Малюська;Малюсь;Денис;Леонт(ь|и)евич;Денис Малюськ
Олександр Корнієнко;Корниенк;Александр;Сергеевич;Олександр Корнієнк
Кіра Рудик;Руд(и|ы)к;Кира;Александровн;Кір Руд
Дмитро Кулеба;Кулеб;Дмитр;Иванович;Дмитр Кулеб
Олексій Данілов;Данилов;Алексе;Мячеславович;Олекс Даніл
Леонід Кравчук;Кварчук;Леонид;Макарович;Леонід Кравчук
Юрій Вітренко;Витренк;Юри;Юр(ь|и)евич;Юр Вітренк
Антон Геращенко;Геращенк;Антон;Юр(ь|и)евич;Антон Геращенк
Сергій Марченко;Марченк;Серге;Михайлович;Серг Марченк
Олексій Резніков;Резников;Алексе;Юр(ь|и)евич;Олекс Резнік
Олег Татаров;Татаров;Олег;Юр(ь|и)евич;Олег Татар
Євгенія Кравчук;Кравчук;Евгени;Михайловн;Євген Кравчук
Кирило Тимошенко;Тимошенк;Кирил;Владленович;Кирилл Тимошенк
Ігор Терехов;Терехов;Игор;Александрович;Ігор Терех
Сергій Шкарлет;Шкарлет;Серге;Николаевич;Серг Шкарлет
Марина Лазебна;Лазебн;Марин;Владимировн;Марин Лазебн
Олексій Арестович;Арестович;Алексе;Николаевич;Олекс Арестович
Михайло Радуцький;Радуцк;Михаил;Борисович;Михайл Радуцьк
Михайло Подоляк;Подоляк;Михаил;;Михайл Подоляк
Людмила Денісова;Денисов;Людмил;Леонт(ь|и)евн;Людмил Деніс
Ігор Петрашко;Петрашк;Игор;Ростиславович;Ігор Петрашк
Данило Гетманцев;Геть?манцев;Дании?л;Александрович;Данил Гетманц
Ілля Кива;Кив;Іль;Владимирович;Ілл Кив
Руслан Хомчак;Хомчак;Руслан;Борисович;Руслан Хомчак
Олег Немчінов;Немчинов;Олег;Николаевич;Олег Немчин
Руслан Стефанчук;Стефанчу;Руслан;Алексеевич;Руслан Стефанчук
Андрій Таран;Таран;Андре;Васильевич;Андр Таран
Андрій Коболєв;Коболев;Андре;Владимирович;Андр Коболєв
Євгеній Шевченко;Шевченк;Евген;Владимирович;Евген Шевченк
Руслан Марцінків;Марцинк;Руслан;Романович;Руслан Марцінк
Євгеній Єнін;Енин;Евген;Владимирович;Євген Єнін
Михайло Федоров;Ф(ё|е)доров;Михаил;Альбертович;Михайл Федор
Микола Тищенко;Тищенк;Никола;Николаевич;Никола Тищенк
Ольга Стефанішина;Стефанишин;Ольг;Витальевн;Ольг Стефанішин
Кирило Шевченко;Шевченк;Кирил;Евгеньевич;Кирилл Тимошенк
Тарас Козак;Козак;Тарас;Романович;Тарас Козак
Олександр Дубінський;Дубинск;Александр;Анатол(и|ь)евич;Олександр Дубінськ
Олег Уруський;Урусь?к;Олег;Сем(ё|е)нович;Олег Уруськ
Олександр Качура;Качура;Александр;Анатол(и|ь)евич;Олександр Качур
Ярослав Железняк;Железняк;Ярослав;Иванович;Яросл Железняк
Андрій Деркач;Деркач;Андре;Леонидович;Андр Деркач
