fullname;surname;name;patronim;stem_name
Володимир Зеленський;Зеленськ;Володимир;Олександрович;Володимир Зеленськ
Петро Порошенко;Порошенк;Петр;Олексійович;Петр Порошенк
Ірина Венедіктова;Венед(і|и)ктов;Ірин;Валентинівн;Ірин Венедікт
Арсен Аваков;Аваков;Арсен;Борисович;Арсен Авак
Максим Степанов;Степанов;Максим;Володимирович;Макс Степан
Юлія Тимошенко;Тимошенк;Юлі;Володимирівн;Юл Тимошенк
Денис Шмигаль;Шмигал;Денис;Анатолійович;Денис Шмигал
Давид Арахамія;Арахамі;Давид;Георгійович;Давид Арахам
Віктор Медведчук;Медведчук;Віктор;Володимирович;Віктор Медведчук
Міхеіл Саакашвілі;Саакашвілі;Міх(е|а)(і|ї)л;;Михайл Саакашвіл
Вадим Рабінович;Рабінович;Вадим;Зіновійович;Вадим Рабинович
Олексій Гончаренко;Гончаренк;Олексі;Олексійович;Олекс Гончаренк
Віталій Кличко;Кличк;Віталі;Володимирович;Вітал Кличк
Юрій Бойко;Бойк;Юрі;Анатолійович;Юр Бойк
Дмитро Разумков;Разумков;Дмитр;Олександрович;Дмитр Разумк
Віктор Ляшко;Ляшк;Віктор;Кирилович;Віктор Ляшк
Андрій Єрмак;Єрмак;Андрі;Борисович;Андр Єрмак
Гео Лерос;Лерос;Гео;Багратович;Ге Лерос
Іван Баканов;Баканов;Іван;Генн?адійович;Іван Бакан
Артем Ситник;Ситник;Артем;Сергійович;Арт Ситник
Назар Холодницький;Холодницьк;Назар;Іванович;Назар Холодницьк
Владислав Криклій;Криклі;Владислав;Артурович;Владисл Крикл
Олександр Ткаченко;Ткаченк;Олександр;Владиславович;Олександр Ткаченк
Геннадій Труханов;Труханов;Генн?аді;Леонідович;Геннад Трухан
Андрій Садовий;Садов;Андрі;Іванович;Андр Садов
Борис Філатов;Філатов;Борис;Альбертович;Борис Філат
Денис Малюська;Малюсь;Денис;Леонтійович;Денис Малюськ
Олександр Корнієнко;Корнієнк;Олександр;Сергійович;Олександр Корнієнк
Кіра Рудик;Рудик;Кір;Олександрівн;Кір Руд
Дмитро Кулеба;Кулеб;Дмитр;Іванович;Дмитр Кулеб
Олексій Данілов;Дан(і|и)лов;Олексі;Мячеславович;Олекс Даніл
Леонід Кравчук;Кварчук;Леонід;Макарович;Леонід Кравчук
Юрій Вітренко;Вітренк;Юрі;Юрійович;Юр Вітренк
Антон Геращенко;Геращенк;Антон;Юрійович;Антон Геращенк
Сергій Марченко;Марченк;Сергі;Михайлович;Серг Марченк
Олексій Резніков;Резніков;Олексі;Юрійович;Олекс Резнік
Олег Татаров;Татаров;Олег;Юрійович;Олег Татар
Євгенія Кравчук;Кравчук;Євгені;Михайлівн;Євген Кравчук
Кирило Тимошенко;Тимошенк;Кирил;Владленович;Кирилл Тимошенк
Ігор Терехов;Терехов;Ігор;Олександрович;Ігор Терех
Сергій Шкарлет;Шкарлет;Сергі;Миколайович;Серг Шкарлет
Марина Лазебна;Лазебн;Марин;Володимирівн;Марин Лазебн
Олексій Арестович;Арестович;Олексі;Миколайович;Олекс Арестович
Михайло Радуцький;Радуцьк;Михайл;Борисович;Михайл Радуцьк
Михайло Подоляк;Подоляк;Михайл;;Михайл Подоляк
Людмила Денісова;Ден(і|и)сов;Людмил;Леонтіївн;Людмил Деніс
Ігор Петрашко;Петрашк;Ігор;Ростиславович;Ігор Петрашк
Данило Гетманцев;Геть?манцев;Данил;Олександрович;Данил Гетманц
Ілля Кива;Кив;Ілл;Володимирович;Ілл Кив
Руслан Хомчак;Хомча;Руслан;Борисович;Руслан Хомчак
Олег Немчінов;Немч(і|и)нов;Олег;Миколайович;Олег Немчин
Руслан Стефанчук;Стефанчу;Руслан;Олексійович;Руслан Стефанчук
Андрій Таран;Таран;Андрі;Васильович;Андр Таран
Андрій Коболєв;Кобол(є|е)в;Андрі;Володимирович;Андр Коболєв
Євгеній Шевченко;Шевченк;Євген;Володимирович;Евген Шевченк
Руслан Марцінків;Марцінк;Руслан;Романович;Руслан Марцінк
Євгеній Єнін;Єнін;Євген;Володимирович;Євген Єнін
Михайло Федоров;Федоров;Михайл;Альбертович;Михайл Федор
Микола Тищенко;Тищенк;Микол;Миколайович;Никола Тищенк
Ольга Стефанішина;Стефан(і|и)шин;Ольг;Віталіївн;Ольг Стефанішин
Кирило Шевченко;Шевченк;Кирил;Євгенович;Кирилл Тимошенк
Тарас Козак;Козак;Тарас;Романович;Тарас Козак
Олександр Дубінський;Дубінськ;Олександр;Анатолійович;Олександр Дубінськ
Олег Уруський;Уруськ;Олег;Семенович;Олег Уруськ
Олександр Качура;Качура;Олександр;Анатолійович;Олександр Качур
Ярослав Железняк;Железняк;Ярослав;Іванович;Яросл Железняк
Андрій Деркач;Деркач;Андрі;Леонідович;Андр Деркач
