word;tone
аборт;-1
абсурд;-1
абсурдний;-1
абсурдно;-1
аварійний;-1
аварія;-1
автентичний;1
автомат;-1
авторитетний;1
агітка;-1
агонія;-1
агресивний;-1
агресія;-1
адекватний;1
адекватно;1
акуратний;1
алкаш;-2
алкоголізм;-1
алогічний;-1
альтруїстичний;1
амбітний;1
амбіція;1
амністія;1
аморальний;-1
аморфний;-1
ангельський;1
аномальний;-1
анти;-1
антиамериканський;-1
антигромадський;-1
антигуманний;-1
антидержавний;-1
антиконституційний;-1
антинаркотичний;1
антинародний;-1
антинауковий;-1
антирадянський;-1
антисанітарний;-1
антисеміт;-1
антисемітський;-1
антисоціальний;-1
антитерористичний;1
антиутопія;-1
антихристиянський;-1
апатичний;-2
апетитний;1
апокаліптичний;-1
арешт;-1
аромат;1
артилерист;-1
асоціальний;-1
атакувати;-1
афганський;-1
ахінея;-1
багатовимірний;1
багатогранний;1
багатодітний;1
багатомільйонний;-1
багатообіцяючий;1
бадьорий;1
бажаний;1
байдуже;-1
байдужий;-1
байдужість;-1
балаканина;-1
балакучий;-1
балалайка;-1
балувати;1
банальність;-1
банально;-1
банда;-1
бандит;-1
бандитський;-1
бандформування;-1
банкрут;-1
банкрутство;-1
безальтернативний;-1
безбожний;-1
безвихідний;-1
безвихідь;-1
безвідповідальний;-1
безвольний;-1
безглуздий;-1
безглуздість;-1
безглуздо;-1
безгрішний;1
безгрошовий;-1
бездарний;-1
бездарність;-2
бездіяльність;-1
бездіяти;-1
бездоганний;1
бездоганно;2
бездумний;-1
бездумно;-1
безжалісний;-1
безжально;-2
безжурний;2
беззавітний;1
беззаконний;-1
беззаконня;-1
беззахисний;-1
беззмістовний;-1
беззубий;-1
безідейний;-1
безініціативний;-1
безкарний;-2
безкарність;-1
безкомпромісний;-1
безконтрольний;-1
безкорисливий;1
безлад;-1
безладний;-1
безнадійний;-1
безнадія;-1
безодня;-1
безпека;1
безперебійний;1
безперечний;1
безперспективний;-1
безпечний;1
безпечно;2
безпідставний;-1
безповоротний;-1
безпокійний;-1
безпорадний;-2
безправний;-1
безпритульний;-1
безпрограшний;1
безпросвітний;-2
безпутний;-1
безрадісний;-1
безрезультатний;-1
безробіття;-1
безрозсудний;-1
безсердечний;-1
безсмачний;-1
безсмертний;2
безсовісний;-1
безсоромний;-1
безстрашний;1
безсумнівний;1
безтактовний;-1
безталанний;-1
безтолковий;-2
безумство;-1
безуспішний;-1
безхребетний;-1
безцеремонний;-1
безцільний;-1
безцінний;2
безчесний;-1
безчуттєвий;-1
бентежити;-1
бидло;-2
битва;-1
бити;-1
біда;-1
бідний;-1
бідність;-1
бідно;-1
біженець;-1
бійка;-1
бійня;-2
бісексуал;-1
благий;1
благовихований;1
благоговійний;1
благодать;1
благодійний;1
благодійник;1
благодійність;1
благозвучний;1
благополучний;2
благополучно;1
благородний;1
благорозумний;1
благословляти;1
благосний;1
благотворний;2
благоустрій;1
блаженний;1
блаженство;1
блатний;-2
ближній;1
блиск;2
блискучий;2
бліднути;-1
блокада;-1
блокадний;-1
блокуватися;-1
блювати;-1
блювотиння;-2
блядство;-2
бляклий;-1
богатирський;1
богобоязливий;-1
боговгодно;1
богомерзенний;-2
божевілля;-1
божественний;1
божеський;1
болісний;-2
болісно;-1
бомба;-1
бомбардувальник;-1
бомбардування;-1
бомбити;-1
бомбування;-1
борг;-1
борговий;-1
борець;1
боягуз;-2
боягузливий;-2
боягузтво;-1
боязкуватий;-1
боязнь;-1
бракувати;-1
братовбивчий;-1
брехати;-1
брехливий;-2
брехня;-1
бродяга;-1
бруд;-1
брудний;-2
бруднити;-1
бувалий;1
буйний;-1
бунтівник;-1
бунтувати;-1
буржуазія;-1
буржуй;-1
буркотливий;-1
бухати;-2
бюрократ;-1
бюрократія;-1
в'язень;-1
в'язниця;-1
в'ялий;-1
важковиліковний;-2
важкувато;-1
валитися;-1
варварський;-1
ваххабіт;-1
вбивати;-2
вбити;-2
вбивство;-1
вбивця;-2
вбивчий;-1
ввічливий;1
ввічливість;1
вгадувати;1
вдалий;1
вдало;1
вдосконалення;1
вдячний;1
везучий;1
велелюбний;1
великомасштабний;2
великорос;-1
великоруський;1
великосвітський;-1
величний;2
вельмишановний;1
венеричний;-1
верескливий;-1
верещати;-1
веселитися;1
ветхий;-1
вечірка;1
взаємовигідний;1
вибачення;1
вибух;-1
вибухати;-1
виверт;-1
вивчення;1
вигадливий;1
вигадувати;-1
вигідний;1
вигідно;1
вигнанець;-1
вигнання;-2
вигода;1
виграш;1
видаляти;-1
видворяти;-1
видовищний;1
визвольний;1
викидати;-1
викрадати;-1
викрадач;-1
викрадення;-1
викривач;-1
викурювати;-1
вилучення;-1
виляти;-1
вимагати;-1
вимирання;-1
вимирати;-2
винищувати;-1
винний;-1
винність;-1
винуватий;-1
випереджати;1
виправдання;-1
виправдувальний;1
виразний;1
вироджуватися;-1
виродок;-1
вирок;-1
висадка;-1
виселення;-1
висміювати;-2
виснаження;-1
виснажливий;-1
високоефективний;2
висококваліфікований;2
висококласний;2
високоміцний;1
високоморальний;1
високооплачуваний;1
високоосвічений;1
високоповажний;1
високопродуктивний;1
високопрофесійний;1
високотехнологічний;1
високоточний;1
високохудожній;1
високоякісний;2
вистрілювати;-1
витік;-1
витісняти;-1
витончений;1
витончено;1
витратити;-1
витратний;-2
витривалий;1
відбувати;-1
відвага;1
відважний;2
відданість;1
відкритість;1
відкушувати;-1
відмивання;-1
відмінний;2
відмінниця;1
відмовляти;-1
відмовлятися;-1
відморозок;-2
відновлення;1
відображати;1
відраза;-1
відринутий;-1
відрізати;-1
відродження;1
відроджувати;1
відроджуватися;1
відрубувати;-1
відсидка;-2
відсіч;1
відставати;-1
відсторонення;-1
відстороняти;-1
відторгнення;-1
відхилення;-1
відхиляти;-1
відхожий;-1
відчай;-2
війна;-1
вільнодумний;1
вірність;1
віроломний;-2
вірусний;-1
вітати;1
вітатися;1
вічний;1
віщий;1
вмирати;-1
вогневий;-1
вогник;1
воістину;1
вольовий;1
